Category,Item,Total Spent,Transaction Date
Utilities,Electricity Bill,140.05,2023-05-04
Subscriptions,Gym Membership,38.24,2024-06-21
Transportation,Fuel,133.03,2023-09-01
Subscriptions,Netflix,15.97,2024-08-21
Housing,Mortgage,1641.54,2024-03-09
Utilities,Water Bill,77.1,2023-10-09
Dining,Fast Food,40.38,2024-08-26
Groceries,Rice,81.42,2024-12-17
Groceries,Eggs,83.22,2024-05-01
Housing,Rent,1831.21,2023-05-29
Transportation,Fuel,108.2,2023-11-12
Groceries,Vegetables,145.12,2024-09-12
Groceries,Vegetables,100.35,2023-02-25
Housing,Rent,1138.57,2024-10-16
Housing,Mortgage,1559.35,2024-07-01
Other,Online Purchase,129.07,2024-02-02
Groceries,Rice,139.34,2023-09-19
Transportation,Uber Ride,140.64,2023-08-30
Transportation,Train Ticket,129.33,2023-06-14
Dining,Food Delivery,49.63,2024-10-21
Dining,Restaurant,43.28,2023-03-24
Other,Misc Expense,72.25,2024-02-27
Other,Misc Expense,108.46,2023-04-13
Other,Online Purchase,105.68,2024-06-02
Groceries,Eggs,64.87,2024-07-14
Housing,Mortgage,638.29,2023-02-23
Housing,Rent,1707.43,2023-05-20
Groceries,Rice,32.41,2023-11-09
Transportation,Uber Ride,19.29,2023-09-13
Subscriptions,Gym Membership,34.07,2023-05-14
Other,Misc Expense,119.52,2023-11-24
Dining,Fast Food,131.41,2023-05-17
Transportation,Train Ticket,104.06,2023-12-02
Other,Misc Expense,32.2,2024-02-29
Transportation,Train Ticket,60.84,2024-01-22
Other,Online Purchase,6.05,2023-01-24
Subscriptions,Gym Membership,13.0,2023-04-02
Dining,Restaurant,41.48,2023-06-22
Groceries,Rice,93.85,2024-09-06
Transportation,Train Ticket,16.09,2024-01-12
Utilities,Electricity Bill,145.68,2024-04-09
Other,Misc Expense,20.42,2024-12-31
Utilities,Water Bill,208.95,2023-09-30
Transportation,Fuel,59.16,2024-03-17
Other,Online Purchase,91.21,2023-10-17
Housing,Rent,1171.93,2023-05-30
Groceries,Eggs,146.49,2023-08-30
Subscriptions,Spotify,17.94,2024-12-01
Housing,Mortgage,1256.43,2023-11-28
Housing,Mortgage,1598.67,2024-12-26
Dining,Food Delivery,90.79,2023-03-16
Groceries,Chicken,11.64,2023-12-07
Utilities,Internet Bill,249.28,2024-11-17
Other,Online Purchase,3.79,2024-05-31
Subscriptions,Spotify,18.81,2024-01-15
Utilities,Electricity Bill,87.26,2024-05-30
Dining,Fast Food,132.05,2023-05-16
Groceries,Eggs,107.41,2024-03-19
Utilities,Gas Bill,39.72,2023-05-11
Dining,Fast Food,112.93,2024-03-16
Transportation,Bus Pass,93.1,2023-09-28
Subscriptions,Spotify,10.77,2024-05-18
Other,Online Purchase,84.68,2024-11-04
Housing,Mortgage,808.07,2023-08-24
Utilities,Electricity Bill,65.98,2024-04-23
Dining,Restaurant,149.29,2024-05-21
Groceries,Rice,55.41,2024-12-27
Subscriptions,Spotify,8.94,2023-06-01
Groceries,Eggs,16.76,2023-10-18
Utilities,Water Bill,210.97,2024-07-30
Housing,Rent,1960.28,2024-06-22
Other,Online Purchase,64.21,2023-03-20
Utilities,Internet Bill,225.22,2023-01-27
Transportation,Uber Ride,60.94,2024-08-27
Groceries,Eggs,25.6,2023-03-25
Dining,Food Delivery,99.95,2024-04-09
Housing,Mortgage,608.13,2023-02-14
Housing,Mortgage,1624.16,2024-08-05
Utilities,Water Bill,206.34,2023-10-17
Transportation,Uber Ride,112.34,2024-07-14
Subscriptions,Spotify,13.93,2023-09-03
Other,Misc Expense,16.11,2023-08-02
Utilities,Internet Bill,92.69,2024-10-31
Utilities,Electricity Bill,206.24,2023-11-14
Housing,Rent,734.56,2024-01-12
Subscriptions,Netflix,35.99,2024-05-02
Transportation,Fuel,16.26,2024-03-08
Other,Misc Expense,93.24,2024-03-20
Housing,Mortgage,1318.68,2024-04-19
Housing,Rent,1599.09,2024-05-22
Subscriptions,Gym Membership,7.94,2024-04-24
Dining,Restaurant,136.36,2024-05-04
Transportation,Train Ticket,147.68,2024-12-01
Transportation,Train Ticket,79.89,2023-10-30
Subscriptions,Netflix,37.11,2024-06-09
Groceries,Chicken,65.46,2023-04-07
Dining,Food Delivery,108.89,2023-09-17
Transportation,Bus Pass,89.08,2024-05-30
Groceries,Milk,111.86,2024-04-18
Utilities,Water Bill,39.96,2024-03-02
Housing,Mortgage,1613.73,2024-11-17
Dining,Food Delivery,121.75,2023-12-16
Other,Online Purchase,34.03,2023-03-22
Housing,Mortgage,748.86,2024-07-01
Groceries,Milk,61.06,2023-01-14
Utilities,Internet Bill,119.12,2024-11-04
Housing,Mortgage,1738.39,2024-09-23
Transportation,Fuel,121.28,2023-03-31
Utilities,Water Bill,54.62,2023-01-17
Housing,Rent,892.92,2024-10-26
Utilities,Water Bill,167.73,2024-07-05
Utilities,Electricity Bill,131.95,2024-04-30
Dining,Restaurant,20.12,2023-06-06
Housing,Mortgage,1260.08,2024-04-05
Subscriptions,Netflix,24.93,2024-02-06
Groceries,Eggs,4.16,2024-10-07
Other,Misc Expense,146.98,2024-05-22
Housing,Mortgage,1159.55,2024-06-09
Subscriptions,Gym Membership,28.75,2024-05-14
Utilities,Electricity Bill,122.84,2023-11-20
Subscriptions,Netflix,27.69,2024-04-29
Groceries,Rice,94.54,2024-10-23
Transportation,Fuel,105.53,2023-01-22
Utilities,Gas Bill,133.23,2024-03-24
Utilities,Water Bill,180.69,2024-09-08
Other,Misc Expense,22.28,2023-10-28
Housing,Mortgage,1766.31,2024-11-20
Housing,Mortgage,1719.66,2023-06-15
Subscriptions,Netflix,31.22,2024-11-14
Dining,Restaurant,28.47,2023-06-10
Subscriptions,Spotify,19.56,2024-05-20
Transportation,Train Ticket,33.79,2023-02-18
Groceries,Eggs,132.49,2024-01-01
Housing,Rent,1803.25,2024-05-30
Groceries,Milk,52.65,2023-04-27
Subscriptions,Netflix,12.84,2023-09-22
Transportation,Bus Pass,116.1,2024-07-24
Transportation,Train Ticket,128.45,2024-06-11
Subscriptions,Gym Membership,6.76,2024-03-24
Other,Misc Expense,144.51,2023-04-24
Groceries,Chicken,92.62,2023-04-15
Other,Online Purchase,77.57,2023-06-21
Housing,Rent,1875.38,2023-06-10
Housing,Mortgage,1666.75,2024-05-25
Housing,Rent,1109.23,2023-05-22
Groceries,Bread,67.55,2024-03-01
Other,Online Purchase,39.06,2024-04-30
Transportation,Bus Pass,77.24,2023-03-29
Transportation,Bus Pass,108.13,2024-02-29
Transportation,Train Ticket,25.29,2024-06-26
Dining,Restaurant,23.29,2024-03-15
Dining,Fast Food,135.02,2024-06-12
Other,Misc Expense,141.73,2024-03-29
Utilities,Electricity Bill,143.82,2023-03-13
Groceries,Eggs,49.28,2023-06-18
Dining,Restaurant,60.81,2023-02-07
Housing,Rent,680.93,2024-10-08
Housing,Mortgage,1840.1,2024-12-18
Subscriptions,Spotify,15.98,2023-12-19
Groceries,Eggs,135.33,2024-09-17
Utilities,Internet Bill,75.13,2024-07-11
Subscriptions,Gym Membership,29.41,2024-10-26
Dining,Restaurant,132.5,2023-03-28
Groceries,Chicken,52.17,2023-05-10
Subscriptions,Gym Membership,8.25,2024-07-19
Transportation,Bus Pass,114.29,2023-06-13
Groceries,Milk,133.88,2024-07-06
Subscriptions,Spotify,32.1,2024-03-08
Subscriptions,Netflix,34.46,2023-09-23
Housing,Mortgage,1659.18,2023-05-08
Dining,Fast Food,87.15,2023-01-06
Dining,Fast Food,147.49,2024-08-18
Subscriptions,Gym Membership,26.97,2024-06-30
Other,Online Purchase,54.5,2023-10-19
Housing,Rent,1327.53,2023-09-11
Groceries,Eggs,78.92,2023-07-17
Other,Misc Expense,69.78,2023-05-31
Housing,Mortgage,714.73,2023-03-05
Dining,Restaurant,73.01,2024-04-01
Groceries,Eggs,102.49,2024-02-17
Subscriptions,Gym Membership,18.82,2023-09-28
Subscriptions,Spotify,39.88,2024-12-06
Dining,Food Delivery,146.07,2023-06-16
Utilities,Water Bill,130.7,2024-12-22
Subscriptions,Gym Membership,12.44,2024-04-29
Groceries,Vegetables,26.06,2024-07-26
Transportation,Uber Ride,91.44,2024-02-23
Groceries,Milk,57.33,2023-10-24
Groceries,Chicken,25.54,2024-01-16
Transportation,Bus Pass,47.58,2024-05-12
Groceries,Bread,23.89,2024-08-26
Dining,Restaurant,140.71,2023-11-09
Transportation,Train Ticket,29.91,2024-05-15
Groceries,Milk,83.49,2023-03-11
Other,Online Purchase,64.38,2024-08-09
Transportation,Fuel,135.34,2024-01-22
Dining,Food Delivery,125.55,2023-05-16
Other,Online Purchase,77.2,2024-04-16
Other,Misc Expense,101.08,2023-06-02
Other,Misc Expense,16.13,2024-10-01
Housing,Mortgage,1860.34,2023-12-14
Subscriptions,Netflix,36.15,2023-10-12
Housing,Rent,1590.09,2024-08-08
Housing,Mortgage,773.29,2024-07-26
Groceries,Bread,143.41,2024-07-08
Subscriptions,Netflix,23.26,2024-05-02
Subscriptions,Netflix,37.77,2023-07-04
Groceries,Eggs,118.65,2023-09-09
Other,Misc Expense,15.44,2024-06-30
Subscriptions,Spotify,6.57,2023-01-24
Transportation,Fuel,29.53,2023-01-25
Other,Misc Expense,59.16,2023-04-04
Groceries,Milk,82.64,2023-10-20
Utilities,Water Bill,49.72,2023-11-11
Dining,Food Delivery,27.87,2024-09-21
Transportation,Train Ticket,6.99,2023-03-01
Transportation,Fuel,17.52,2023-05-26
Dining,Fast Food,40.92,2023-05-04
Groceries,Bread,38.22,2024-09-03
Subscriptions,Netflix,31.33,2024-01-30
Groceries,Eggs,11.91,2024-04-20
Subscriptions,Spotify,6.01,2024-10-10
Utilities,Electricity Bill,241.96,2024-11-22
Groceries,Bread,115.16,2024-10-29
Other,Online Purchase,47.78,2024-02-21
Dining,Restaurant,127.4,2024-05-27
Utilities,Water Bill,246.77,2023-09-09
Subscriptions,Spotify,24.43,2023-02-12
Groceries,Rice,144.28,2024-09-27
Transportation,Train Ticket,3.08,2024-05-08
Transportation,Bus Pass,126.4,2024-01-25
Transportation,Train Ticket,89.02,2024-06-06
Transportation,Uber Ride,26.73,2024-06-30
Subscriptions,Netflix,18.84,2023-05-06
Other,Online Purchase,109.59,2023-10-14
Dining,Restaurant,92.74,2023-11-22
Housing,Mortgage,1971.5,2024-12-25
Dining,Fast Food,39.15,2023-11-26
Transportation,Train Ticket,70.59,2024-09-05
Transportation,Uber Ride,137.36,2023-05-17
Housing,Rent,605.99,2023-01-10
Housing,Rent,1853.38,2024-12-21
Dining,Fast Food,82.11,2024-10-26
Housing,Rent,1849.6,2024-11-18
Dining,Food Delivery,21.14,2024-01-21
Other,Misc Expense,59.85,2024-12-14
Groceries,Milk,71.02,2023-07-17
Dining,Restaurant,35.56,2023-01-21
Other,Misc Expense,103.04,2024-12-27
Transportation,Train Ticket,16.23,2024-09-20
Housing,Mortgage,909.61,2024-05-20
Transportation,Uber Ride,44.27,2024-12-21
Housing,Rent,1977.97,2024-10-15
Dining,Restaurant,130.88,2024-08-05
Subscriptions,Spotify,11.78,2024-08-02
Housing,Rent,779.54,2023-03-08
Utilities,Gas Bill,218.21,2024-06-19
Housing,Mortgage,1549.17,2024-12-10
Housing,Mortgage,1836.34,2023-01-03
Dining,Food Delivery,101.95,2024-10-27
Groceries,Eggs,66.58,2024-02-21
Transportation,Uber Ride,102.99,2024-04-22
Dining,Fast Food,79.04,2023-02-14
Housing,Rent,1885.75,2024-06-29
Dining,Fast Food,3.76,2023-07-19
Transportation,Uber Ride,132.37,2023-01-26
Housing,Rent,1193.35,2023-03-18
Utilities,Water Bill,98.38,2024-10-03
Housing,Rent,1204.73,2023-01-25
Subscriptions,Gym Membership,34.42,2023-09-11
Groceries,Rice,38.04,2023-12-15
Other,Online Purchase,123.78,2024-06-16
Other,Online Purchase,141.7,2024-09-06
Subscriptions,Spotify,26.89,2024-08-15
Groceries,Milk,146.26,2023-02-04
Dining,Fast Food,133.84,2024-12-11
Groceries,Bread,12.11,2024-03-28
Groceries,Eggs,92.78,2024-03-18
Groceries,Milk,102.6,2024-07-26
Groceries,Eggs,127.94,2024-02-16
Groceries,Chicken,113.54,2023-08-27
Other,Online Purchase,69.65,2024-04-20
Other,Misc Expense,132.35,2024-09-26
Groceries,Eggs,98.69,2024-11-22
Other,Online Purchase,69.75,2023-12-03
Subscriptions,Netflix,5.43,2024-12-31
Groceries,Chicken,119.04,2023-07-18
Subscriptions,Netflix,13.97,2024-03-07
Dining,Food Delivery,94.27,2023-07-10
Utilities,Water Bill,43.31,2023-11-16
Subscriptions,Spotify,27.81,2024-01-02
Transportation,Train Ticket,24.67,2023-11-13
Subscriptions,Spotify,38.96,2024-06-14
Subscriptions,Gym Membership,7.01,2024-06-03
Other,Online Purchase,65.04,2023-07-20
Utilities,Water Bill,105.14,2024-11-14
Dining,Food Delivery,104.7,2024-04-23
Subscriptions,Gym Membership,25.24,2023-12-10
Subscriptions,Spotify,10.68,2024-04-10
Other,Online Purchase,75.9,2023-01-04
Housing,Rent,1253.15,2023-08-07
Utilities,Internet Bill,239.57,2023-12-06
Other,Misc Expense,33.18,2023-07-08
Other,Online Purchase,56.33,2023-03-17
Transportation,Uber Ride,84.54,2023-05-26
Transportation,Fuel,31.58,2024-08-22
Other,Misc Expense,9.45,2023-01-31
Utilities,Water Bill,78.17,2023-09-26
Housing,Rent,1376.31,2023-07-02
Utilities,Electricity Bill,87.59,2023-04-14
Groceries,Vegetables,23.17,2024-11-01
Other,Online Purchase,52.74,2023-08-04
Transportation,Fuel,38.3,2024-01-17
Housing,Rent,1967.94,2024-09-30
Dining,Food Delivery,12.61,2023-05-28
Utilities,Water Bill,113.2,2024-01-19
Transportation,Fuel,146.62,2023-09-08
Groceries,Chicken,89.34,2024-07-02
Transportation,Train Ticket,51.17,2023-02-24
Housing,Mortgage,1792.1,2024-08-21
Dining,Restaurant,109.91,2024-04-26
Other,Online Purchase,27.61,2024-02-02
Other,Misc Expense,76.29,2024-04-20
Utilities,Gas Bill,145.6,2024-05-09
Housing,Mortgage,1413.66,2024-10-15
Other,Online Purchase,33.46,2023-07-27
Dining,Restaurant,61.2,2023-11-10
Dining,Fast Food,86.99,2024-01-19
Transportation,Uber Ride,22.75,2023-03-28
Transportation,Fuel,79.27,2023-08-24
Subscriptions,Netflix,26.74,2024-03-12
Dining,Fast Food,66.58,2024-01-12
Other,Misc Expense,49.6,2024-01-27
Groceries,Bread,67.93,2023-09-29
Housing,Rent,715.39,2024-05-28
Subscriptions,Gym Membership,32.51,2023-08-22
Groceries,Milk,13.49,2023-02-09
Subscriptions,Netflix,28.63,2023-09-14
Transportation,Bus Pass,31.02,2024-09-10
Utilities,Gas Bill,95.88,2023-12-21
Other,Misc Expense,142.03,2024-08-16
Other,Online Purchase,72.38,2024-06-08
Other,Online Purchase,130.22,2023-08-22
Utilities,Water Bill,143.48,2024-07-19
Other,Misc Expense,109.21,2024-04-17
Transportation,Uber Ride,49.02,2023-07-12
Dining,Food Delivery,64.4,2024-03-25
Dining,Food Delivery,7.43,2023-05-23
Subscriptions,Netflix,30.82,2024-05-26
Other,Misc Expense,52.95,2024-03-05
Dining,Food Delivery,113.64,2024-12-08
Subscriptions,Spotify,5.81,2023-02-02
Utilities,Water Bill,248.74,2024-08-04
Housing,Mortgage,885.89,2024-02-05
Groceries,Chicken,59.81,2024-05-01
Groceries,Eggs,86.72,2024-04-07
Housing,Mortgage,746.04,2024-07-20
Utilities,Electricity Bill,162.74,2023-01-28
Utilities,Water Bill,241.86,2023-10-18
Utilities,Water Bill,145.37,2024-04-10
Groceries,Eggs,79.22,2023-06-25
Transportation,Fuel,60.49,2023-04-24
Utilities,Internet Bill,45.13,2023-07-31
Utilities,Water Bill,209.94,2024-11-11
Dining,Restaurant,91.75,2023-11-14
Subscriptions,Netflix,28.97,2023-10-10
Utilities,Electricity Bill,128.06,2024-02-13
Subscriptions,Netflix,36.86,2024-05-17
Dining,Fast Food,87.69,2023-04-04
Transportation,Fuel,53.98,2024-12-29
Other,Misc Expense,60.49,2023-06-29
Dining,Restaurant,29.4,2024-09-24
Housing,Mortgage,1875.17,2023-07-07
Housing,Rent,1923.96,2023-09-03
Other,Online Purchase,43.25,2024-10-05
Subscriptions,Spotify,7.34,2023-08-11
Dining,Fast Food,148.88,2024-07-20
Groceries,Eggs,14.25,2023-04-18
Subscriptions,Spotify,10.77,2023-08-01
Subscriptions,Netflix,7.56,2024-12-12
Housing,Mortgage,1644.34,2023-07-19
Dining,Restaurant,4.58,2023-04-28
Housing,Rent,1648.15,2024-05-11
Dining,Restaurant,15.13,2024-11-03
Utilities,Internet Bill,210.49,2023-06-15
Utilities,Electricity Bill,68.99,2023-05-08
Subscriptions,Gym Membership,7.72,2023-01-12
Housing,Mortgage,1101.32,2023-08-10
Housing,Rent,1345.22,2024-03-28
Housing,Rent,1736.12,2024-10-18
Housing,Rent,1031.65,2023-02-23
Subscriptions,Netflix,18.21,2023-07-26
Utilities,Gas Bill,74.0,2023-01-17
Dining,Restaurant,148.43,2023-12-12
Other,Online Purchase,102.95,2023-03-06
Utilities,Electricity Bill,212.7,2023-06-21
Housing,Rent,1317.5,2023-12-01
Transportation,Train Ticket,94.83,2024-07-08
Dining,Fast Food,20.76,2023-08-07
Groceries,Eggs,50.54,2023-01-16
Dining,Food Delivery,49.49,2024-02-03
Utilities,Internet Bill,174.75,2023-10-13
Housing,Mortgage,1839.64,2024-02-25
Transportation,Fuel,147.52,2023-04-15
Housing,Rent,732.64,2023-11-29
Housing,Mortgage,1961.31,2024-12-11
Utilities,Gas Bill,197.58,2024-12-05
Transportation,Fuel,12.92,2023-01-19
Subscriptions,Gym Membership,22.89,2023-08-27
Subscriptions,Gym Membership,5.47,2023-01-22
Subscriptions,Netflix,30.83,2023-09-07
Subscriptions,Netflix,18.11,2023-10-31
Utilities,Water Bill,171.25,2023-09-01
Housing,Mortgage,1060.17,2023-10-12
Transportation,Uber Ride,79.57,2024-02-29
Housing,Mortgage,920.61,2023-12-06
Transportation,Train Ticket,33.26,2023-02-25
Housing,Rent,1574.79,2023-08-16
Subscriptions,Spotify,11.42,2024-10-06
Groceries,Milk,130.87,2023-03-13
Utilities,Electricity Bill,61.14,2023-07-29
Utilities,Electricity Bill,150.75,2023-07-29
Utilities,Electricity Bill,132.76,2023-06-18
Housing,Rent,847.01,2023-09-12
Transportation,Bus Pass,87.73,2024-10-12
Utilities,Gas Bill,135.86,2024-01-04
Dining,Fast Food,27.66,2024-03-27
Dining,Food Delivery,92.58,2024-03-19
Other,Online Purchase,123.48,2024-05-08
Groceries,Rice,65.83,2023-03-27
Other,Misc Expense,90.49,2023-06-06
Subscriptions,Gym Membership,18.32,2023-11-10
Dining,Fast Food,58.15,2024-09-12
Dining,Restaurant,51.99,2024-04-25
Utilities,Water Bill,30.92,2024-05-27
Housing,Mortgage,1895.97,2024-02-09
Housing,Mortgage,1030.94,2024-08-25
Groceries,Rice,133.09,2023-05-08
Dining,Food Delivery,26.87,2024-03-22
Transportation,Bus Pass,77.91,2024-05-15
Housing,Mortgage,1511.27,2024-03-10
Housing,Rent,648.31,2024-01-06
Housing,Rent,1503.47,2023-09-25
Subscriptions,Spotify,10.16,2023-09-11
Subscriptions,Gym Membership,34.45,2023-01-13
Groceries,Milk,97.73,2024-01-29
Dining,Food Delivery,89.17,2023-03-24
Subscriptions,Netflix,10.8,2024-03-13
Transportation,Bus Pass,76.6,2024-06-29
Housing,Mortgage,1627.51,2023-04-02
Groceries,Vegetables,87.17,2023-12-19
Other,Online Purchase,42.55,2023-08-03
Housing,Mortgage,608.99,2023-06-22
Other,Misc Expense,3.23,2023-03-13
Other,Misc Expense,80.17,2024-11-01
Transportation,Fuel,28.08,2024-01-19
Utilities,Water Bill,70.04,2023-04-23
Dining,Food Delivery,122.71,2023-07-10
Utilities,Electricity Bill,208.02,2023-07-16
Transportation,Fuel,67.79,2024-10-01
Groceries,Vegetables,27.42,2023-10-28
Groceries,Rice,21.33,2023-03-07
Transportation,Uber Ride,89.09,2024-05-04
Dining,Food Delivery,114.8,2023-01-10
Groceries,Eggs,113.51,2023-01-08
Housing,Rent,1331.27,2023-01-08
Dining,Food Delivery,79.45,2023-09-30
Dining,Fast Food,114.27,2024-09-10
Dining,Fast Food,57.51,2023-12-18
Transportation,Train Ticket,141.33,2024-11-12
Dining,Fast Food,92.79,2023-12-31
Other,Misc Expense,121.52,2023-01-04
Dining,Food Delivery,62.07,2023-05-23
Groceries,Chicken,21.07,2024-06-27
Transportation,Train Ticket,57.16,2024-09-25
Housing,Mortgage,1524.32,2023-01-04
Housing,Mortgage,1104.29,2023-02-16
Other,Misc Expense,102.66,2023-08-28
Subscriptions,Spotify,26.44,2023-03-25
Transportation,Fuel,141.05,2024-05-02
Housing,Rent,1011.41,2023-07-19
Housing,Rent,1826.73,2024-05-31
Groceries,Bread,76.19,2023-03-31
Transportation,Fuel,27.7,2024-04-01
Groceries,Rice,100.41,2023-09-04
Utilities,Water Bill,237.73,2024-12-17
Groceries,Milk,66.93,2023-01-30
Utilities,Gas Bill,198.59,2023-08-14
Housing,Mortgage,1932.11,2024-11-17
Groceries,Vegetables,22.96,2024-07-01
Housing,Mortgage,1568.5,2023-08-18
Subscriptions,Gym Membership,17.01,2024-01-26
Housing,Mortgage,912.97,2023-04-29
Transportation,Uber Ride,19.37,2023-12-15
Housing,Rent,762.55,2024-01-12
Utilities,Gas Bill,156.92,2023-01-02
Transportation,Uber Ride,89.74,2023-07-14
Other,Misc Expense,147.04,2023-11-24
Other,Misc Expense,120.24,2023-05-10
Subscriptions,Gym Membership,12.77,2024-02-09
Groceries,Chicken,128.3,2023-11-20
Utilities,Gas Bill,139.96,2024-04-11
Utilities,Gas Bill,176.38,2024-12-20
Groceries,Chicken,50.06,2024-05-29
Housing,Rent,1786.74,2024-08-10
Dining,Food Delivery,124.82,2024-05-21
Transportation,Fuel,11.65,2023-12-08
Utilities,Water Bill,235.58,2023-08-19
Housing,Rent,1686.45,2024-05-14
Housing,Mortgage,1741.02,2023-06-13
Groceries,Chicken,60.67,2024-03-08
Housing,Mortgage,1660.8,2024-02-05
Groceries,Chicken,109.83,2023-10-17
Housing,Rent,1367.21,2023-04-10
Utilities,Gas Bill,157.68,2023-02-25
Other,Misc Expense,70.26,2023-06-17
Subscriptions,Netflix,21.89,2023-05-29
Utilities,Water Bill,73.04,2024-10-28
Groceries,Eggs,109.72,2024-08-12
Groceries,Vegetables,118.47,2023-06-01
Dining,Fast Food,102.88,2023-06-22
Groceries,Milk,55.27,2024-04-30
Utilities,Electricity Bill,143.4,2023-12-13
Subscriptions,Spotify,26.94,2024-02-18
Utilities,Electricity Bill,117.26,2023-11-06
Housing,Rent,1125.52,2024-12-09
Other,Online Purchase,117.33,2024-10-27
Dining,Fast Food,95.95,2024-03-31
Transportation,Uber Ride,20.64,2023-03-26
Groceries,Rice,97.29,2024-06-05
Utilities,Electricity Bill,247.22,2024-05-06
Transportation,Uber Ride,119.77,2023-07-05
Dining,Fast Food,149.99,2024-12-20
Dining,Fast Food,87.0,2023-04-12
Transportation,Uber Ride,107.92,2024-07-04
Utilities,Internet Bill,34.34,2024-07-23
Other,Misc Expense,12.4,2024-08-21
Subscriptions,Gym Membership,27.81,2023-08-01
Housing,Rent,1438.74,2023-07-04
Groceries,Chicken,68.74,2023-11-18
Groceries,Milk,21.94,2023-07-31
Housing,Rent,959.46,2023-02-05
Groceries,Milk,77.4,2024-01-08
Subscriptions,Netflix,38.08,2023-01-01
Utilities,Gas Bill,238.07,2023-10-28
Housing,Mortgage,1286.62,2023-11-17
Subscriptions,Spotify,22.87,2024-12-05
Groceries,Vegetables,123.51,2023-08-31
Groceries,Bread,23.83,2023-08-09
Utilities,Water Bill,91.03,2024-09-29
Dining,Restaurant,83.83,2023-09-24
Dining,Food Delivery,135.84,2024-02-14
Dining,Restaurant,141.88,2024-11-23
Dining,Food Delivery,24.06,2023-07-28
Groceries,Vegetables,110.7,2024-10-10
Housing,Rent,1389.1,2024-10-25
Other,Online Purchase,64.69,2023-06-07
Transportation,Fuel,58.7,2024-09-10
Utilities,Electricity Bill,146.92,2024-12-01
Subscriptions,Spotify,27.41,2024-01-07
Transportation,Bus Pass,24.51,2023-08-20
Transportation,Uber Ride,17.4,2023-08-16
Dining,Restaurant,118.06,2023-05-07
Utilities,Gas Bill,207.5,2023-04-08
Subscriptions,Spotify,35.29,2024-07-18
Transportation,Uber Ride,134.8,2023-06-24
Transportation,Fuel,29.56,2024-11-25
Other,Misc Expense,73.1,2023-05-11
Transportation,Uber Ride,103.94,2024-12-31
Utilities,Water Bill,154.86,2023-10-01
Groceries,Vegetables,96.96,2024-01-15
Housing,Rent,1185.54,2024-04-13
Utilities,Internet Bill,205.66,2024-05-29
Transportation,Bus Pass,143.03,2024-06-17
Housing,Rent,1801.09,2023-11-09
Dining,Fast Food,127.25,2024-10-11
Groceries,Milk,110.3,2023-04-06
Utilities,Electricity Bill,92.89,2024-05-19
Other,Online Purchase,144.44,2024-03-10
Housing,Rent,1321.02,2024-11-24
Subscriptions,Gym Membership,5.49,2023-07-14
Other,Online Purchase,107.98,2024-12-20
Subscriptions,Gym Membership,39.8,2024-11-08
Other,Online Purchase,92.28,2023-06-22
Housing,Rent,1113.87,2023-05-17
Subscriptions,Spotify,19.8,2024-01-24
Utilities,Gas Bill,104.35,2024-11-26
Utilities,Electricity Bill,136.29,2023-09-29
Utilities,Electricity Bill,155.15,2023-08-11
Transportation,Uber Ride,140.51,2024-09-24
Other,Misc Expense,11.45,2023-01-07
Subscriptions,Spotify,17.39,2023-01-06
Transportation,Train Ticket,62.1,2023-01-10
Groceries,Rice,75.33,2023-03-28
Subscriptions,Gym Membership,19.38,2024-05-14
Groceries,Bread,116.11,2023-09-14
Utilities,Internet Bill,95.84,2024-03-14
Utilities,Gas Bill,126.49,2024-03-25
Utilities,Water Bill,125.47,2024-01-03
Other,Online Purchase,19.27,2023-10-19
Groceries,Bread,61.0,2023-12-06
Groceries,Bread,100.93,2024-05-05
Housing,Mortgage,1284.69,2024-05-22
Other,Online Purchase,50.76,2024-02-14
Subscriptions,Gym Membership,34.51,2024-02-03
Utilities,Electricity Bill,204.4,2023-05-10
Utilities,Gas Bill,198.82,2023-08-31
Groceries,Vegetables,124.99,2024-03-15
Subscriptions,Gym Membership,21.81,2023-10-16
Dining,Restaurant,114.85,2023-09-11
Subscriptions,Netflix,11.54,2023-10-15
Other,Online Purchase,130.03,2024-12-18
Utilities,Internet Bill,185.42,2023-04-16
Housing,Rent,1796.82,2024-10-06
Housing,Rent,785.21,2023-02-09
Transportation,Train Ticket,139.58,2024-03-12
Groceries,Chicken,32.35,2023-02-22
Dining,Fast Food,80.17,2024-12-17
Housing,Rent,1196.51,2023-03-04
Subscriptions,Spotify,15.65,2023-10-03
Transportation,Bus Pass,141.62,2024-12-29
Dining,Restaurant,50.02,2023-02-18
Utilities,Electricity Bill,175.29,2023-11-26
Utilities,Gas Bill,229.87,2023-04-14
Dining,Restaurant,40.08,2024-05-18
Transportation,Bus Pass,47.74,2023-04-10
Housing,Rent,1678.65,2023-05-14
Transportation,Bus Pass,111.97,2024-01-06
Housing,Mortgage,986.33,2024-08-21
Dining,Restaurant,133.42,2023-05-14
Housing,Rent,1955.66,2024-11-01
Other,Online Purchase,31.36,2024-04-01
Groceries,Milk,141.45,2024-09-25
Transportation,Bus Pass,109.63,2023-07-26
Subscriptions,Gym Membership,9.47,2024-03-04
Subscriptions,Gym Membership,35.7,2024-07-27
Transportation,Bus Pass,68.93,2023-05-01
Dining,Restaurant,73.97,2024-06-20
Subscriptions,Netflix,14.6,2023-05-13
Transportation,Uber Ride,143.5,2023-03-04
Other,Online Purchase,111.89,2024-02-12
